Time,Protocol,Node,Energy,Active,Packets_Sent,Packets_Received,Alarms_Sent
5,DSR,Node A,100.0,True,0,0,0
5,DSR,Node B,100.0,True,0,0,0
5,DSR,Node C,100.0,True,0,0,0
5,DSR,Node D,100.0,True,0,0,0
5,DSR,Node E,100.0,True,0,0,0
5,DSR,Node F,100.0,True,0,0,0
5,DSR,Node G,100.0,True,0,0,0
5,DSR,Node H,100.0,True,0,0,0
5,DSR,Node I,100.0,True,0,0,0
5,DSR,Node J,100.0,True,0,0,0
5,DSR,Node K,100.0,True,0,0,0
5,DSR,Node L,99.63996864218025,True,1,1,0
5,DSR,Node M,99.9,True,0,1,0
5,DSR,Node N,100.0,True,0,0,0
5,DSR,Node O,98.85499522976443,True,4,0,0
5,DSR,Node P,100.0,True,0,0,0
5,DSR,Node Q,100.0,True,0,0,0
5,DSR,Node R,100.0,True,0,0,0
5,DSR,Node S,100.0,True,0,0,0
5,DSR,Node T,100.0,True,0,0,0
5,DSR,BS,100.0,True,0,0,0
5,DSR,Malicious Node,100.0,True,0,0,0
5,SFA,Node A,100.0,True,0,0,0
5,SFA,Node B,100.0,True,0,0,0
5,SFA,Node C,99.64693423531423,True,1,1,0
5,SFA,Node D,100.0,True,0,0,0
5,SFA,Node E,99.86748628420159,True,1,0,0
5,SFA,Node F,100.0,True,0,0,0
5,SFA,Node G,100.0,True,0,0,0
5,SFA,Node H,100.0,True,0,0,0
5,SFA,Node I,100.0,True,0,0,0
5,SFA,Node J,100.0,True,0,0,0
5,SFA,Node K,100.0,True,0,0,0
5,SFA,Node L,100.0,True,0,0,0
5,SFA,Node M,100.0,True,0,0,0
5,SFA,Node N,100.0,True,0,0,0
5,SFA,Node O,100.0,True,0,0,0
5,SFA,Node P,100.0,True,0,0,0
5,SFA,Node Q,100.0,True,0,0,0
5,SFA,Node R,99.64693423531423,True,1,1,0
5,SFA,Node S,99.7674862842016,True,1,1,0
5,SFA,Node T,100.0,True,0,0,0
5,SFA,BS,100.0,True,0,0,0
5,SFA,Malicious Node,100.0,True,0,0,0
10,DSR,Node A,100.0,True,0,0,0
10,DSR,Node B,100.0,True,0,0,0
10,DSR,Node C,99.9,True,0,1,0
10,DSR,Node D,99.9,True,0,1,0
10,DSR,Node E,100.0,True,0,0,0
10,DSR,Node F,100.0,True,0,0,0
10,DSR,Node G,99.80000000000001,True,0,2,0
10,DSR,Node H,99.9,True,0,1,0
10,DSR,Node I,99.9,True,0,1,0
10,DSR,Node J,100.0,True,0,0,0
10,DSR,Node K,99.9,True,0,1,0
10,DSR,Node L,98.0983266998685,True,6,1,0
10,DSR,Node M,98.53977215889516,True,6,1,0
10,DSR,Node N,100.0,True,0,0,0
10,DSR,Node O,98.85499522976443,True,4,0,0
10,DSR,Node P,100.0,True,0,0,0
10,DSR,Node Q,99.9,True,0,1,0
10,DSR,Node R,99.84381796447029,True,1,1,0
10,DSR,Node S,99.9,True,0,1,0
10,DSR,Node T,99.80000000000001,True,0,2,0
10,DSR,BS,100.0,True,0,0,0
10,DSR,Malicious Node,100.0,True,0,0,0
10,SFA,Node A,100.0,True,0,0,0
10,SFA,Node B,99.9390371266437,True,1,0,0
10,SFA,Node C,99.64693423531423,True,1,1,0
10,SFA,Node D,99.43401010182906,True,2,1,0
10,SFA,Node E,99.77363020720206,True,2,0,0
10,SFA,Node F,100.0,True,0,0,0
10,SFA,Node G,100.0,True,0,0,0
10,SFA,Node H,99.95,True,1,0,0
10,SFA,Node I,100.0,True,0,0,0
10,SFA,Node J,99.86293744399494,True,1,0,0
10,SFA,Node K,99.890112402524,True,1,0,0
10,SFA,Node L,100.0,True,0,0,0
10,SFA,Node M,100.0,True,0,0,0
10,SFA,Node N,99.95,True,1,0,0
10,SFA,Node O,100.0,True,0,0,0
10,SFA,Node P,99.74619952132628,True,1,0,0
10,SFA,Node Q,99.39050404430996,True,3,2,0
10,SFA,Node R,99.10067592465866,True,3,2,0
10,SFA,Node S,99.68682483342826,True,2,1,0
10,SFA,Node T,99.95,True,1,0,0
10,SFA,BS,100.0,True,0,0,0
10,SFA,Malicious Node,99.87886786672107,True,1,0,0
15,DSR,Node A,100.0,True,0,0,0
15,DSR,Node B,100.0,True,0,0,0
15,DSR,Node C,99.80000000000001,True,0,2,0
15,DSR,Node D,99.80000000000001,True,0,2,0
15,DSR,Node E,99.05084543288405,True,3,1,0
15,DSR,Node F,99.9,True,0,1,0
15,DSR,Node G,98.85032217210244,True,4,3,0
15,DSR,Node H,99.9,True,0,1,0
15,DSR,Node I,99.9,True,0,1,0
15,DSR,Node J,99.9,True,0,1,0
15,DSR,Node K,99.9,True,0,1,0
15,DSR,Node L,98.0983266998685,True,6,1,0
15,DSR,Node M,98.43977215889517,True,6,2,0
15,DSR,Node N,100.0,True,0,0,0
15,DSR,Node O,98.85499522976443,True,4,0,0
15,DSR,Node P,99.9,True,0,1,0
15,DSR,Node Q,99.80000000000001,True,0,2,0
